"code" "movie_title" "point"
"254" "37888" "아는 여자" "9.13"
"255" "47385" "국가대표" "9.13"
"256" "24094" "패치 아담스" "9.13"
"257" "58437" "클릭" "9.13"
"258" "10181" "정무문" "9.13"
"259" "24008" "귀를 기울이면" "9.13"
"260" "31422" "와이키키 브라더스" "9.13"
"261" "13234" "파 앤드 어웨이" "9.13"
"262" "62265" "블러드 다이아몬드" "9.13"
"263" "129802" "피아니스트 세이모어의 뉴욕 소네트" "9.13"
"264" "17254" "뱀파이어와의 인터뷰" "9.12"
"265" "16091" "아버지의 이름으로" "9.12"
"266" "10037" "에이리언" "9.12"
"267" "100931" "겨울왕국" "9.12"
"268" "88473" "철가방 우수氏" "9.12"
"269" "139613" "오베라는 남자" "9.12"
"270" "11502" "용서받지 못한 자" "9.12"
"271" "56083" "호로비츠를 위하여" "9.12"
"272" "18488" "브레이크다운" "9.12"
"273" "17327" "히트" "9.12"
"274" "93005" "늑대아이" "9.12"
"275" "58333" "혐오스런 마츠코의 일생" "9.11"
"276" "62329" "그래도 내가 하지 않았어" "9.11"
"277" "76016" "써니" "9.11"
"278" "53158" "웨딩 드레스" "9.11"
"279" "67696" "코렐라인: 비밀의 문" "9.11"
"280" "18871" "노킹 온 헤븐스 도어" "9.11"
"281" "10004" "빽 투 더 퓨쳐 3" "9.11"
"282" "57723" "타짜" "9.11"
"283" "109905" "분노의 질주: 더 세븐" "9.11"
"284" "10282" "스탠 바이 미" "9.11"
"285" "109911" "빅 히어로" "9.11"
"286" "82219" "오직 그대만" "9.11"
"287" "36565" "무간도" "9.11"
"288" "39640" "하울의 움직이는 성" "9.10"
"289" "129764" "제자, 옥한흠" "9.10"
"290" "38444" "이터널 선샤인" "9.10"
"291" "31882" "물랑 루즈" "9.10"
"292" "19521" "에너미 오브 스테이트" "9.10"
"293" "16172" "시스터 액트 2" "9.10"
"294" "54973" "에반게리온: 파" "9.10"
"295" "47986" "스트레인저 - 무황인담" "9.10"
"296" "37759" "아홉살 인생" "9.09"
"297" "17970" "샤인" "9.09"
"298" "149511" "빅뱅 메이드" "9.09"
"299" "14012" "배트맨 2" "9.09"
"300" "37148" "캐리비안의 해적 - 블랙 펄의 저주" "9.09"
"301" "39813" "호텔 르완다" "9.09"
"302" "17997" "첨밀밀" "9.09"
"303" "45290" "인터스텔라" "9.08"
"304" "39440" "이프 온리" "9.08"
"305" "136890" "에이미" "9.08"
"306" "83883" "고양이 춤" "9.08"
"307" "68695" "추격자" "9.08"
"308" "85094" "명탐정 코난: 침묵의 15분" "9.08"
"309" "138877" "불량소녀, 너를 응원해!" "9.08"
"310" "120788" "짱구는 못말려 극장판: 정면승부! 로봇아빠의 역습" "9.08"
"311" "16503" "스피드" "9.08"
"312" "19031" "러브레터" "9.08"
"313" "27219" "박하사탕" "9.08"
"314" "45264" "누들" "9.08"
"315" "88669" "그 시절, 우리가 좋아했던 소녀" "9.08"
"316" "30301" "스타워즈 에피소드 3 - 시스의 복수" "9.08"
"317" "134841" "라이언" "9.08"
"318" "16487" "길버트 그레이프" "9.07"
"319" "36992" "아이덴티티" "9.07"
"320" "31801" "봄날은 간다" "9.07"
"321" "17521" "파리넬리" "9.07"
